responsible_site,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
"ADELANTO, CA SUB-OFFICE ERO",CA,,,TRUE,field_office,
"AGANA, GUAM, DOCKET CONTROL OFFICE",,,,,,
"ALBANY, NY, POE",NY,,,,,
"ANCHORAGE, AK, DOCKET CONTROL OFFICE",AK,,,,,
ARANSAS COUNTY SHERIFF'S OFFICE,,,,,,
ARIZONA DEPARTMENT OF CORRECTIONS,,,,,,
"ASF - ERO - ALEXANDRIA, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ATLANTA, GA, DISTRICT OFFICE",GA,,,,,
"ATLANTA, GA, DOCKET CONTROL OFFICE",GA,,,,,
"AUSTIN, TX, POE",TX,,,,,
BAKERSFIELD CA IHP,,,,,,
"BALTIMORE, MD, DISTRICT OFFICE",MD,,,,,
"BALTIMORE, MD, DOCKET CONTROL OFFICE",MD,,,,,
BATAVIA CMD CTR NY DCO,,,,,,
"BATON ROUGE, LA, POE",LA,,,,,
BENTON COUNTY SHERIFF'S OFFICE,,,,,,
BLUEBONNET DETENTION CENTER,,,,,,
"BOSTON, MA, DISTRICT OFFICE",MA,,,,,
"BOSTON, MA, DOCKET CONTROL OFFICE",MA,,,,,
"BOWLING GREEN, KY QUICK RESPONSE TEAM",KY,,,,,
"BUFFALO, NY, DOCKET CONTROL OFFICE",NY,,,,,
"BUFFALO, NY, POE",NY,,,,,
BUTLER COUNTY SHERIFF'S OFFICE,,,,,,
CABARRUS COUNTY SHERIFF'S OFFICE,,,,,,
CANADIAN COUNTY SHERIFF'S OFFICE,,,,,,
CECIL COUNTY SHERIFF'S OFFICE,,,,,,
CHAMBERS COUNTY SHERIFF'S OFFICE,,,,,,
"CHARLOTTE, NC, POE",NC,,,,,
"CHICAGO, IL, DISTRICT OFFICE",IL,,,,,
"CHICAGO, IL, DOCKET CONTROL OFFICE",IL,,,,,
CIBOLA COUNTY CORRECTIONAL CENTER,,,,,,
CITY OF MESA POLICE DEPARTMENT,,,,,,
CLAY COUNTY SHERIFF'S OFFICE,,,,,,
"CLEVELAND, OH, DISTRICT OFFICE",OH,,,,,
"CLEVELAND, OH, DOCKET CONTROL OFFICE",OH,,,,,
"CLEVELAND, OH, POE",OH,,,,,
COLLIER COUNTY SHERIFF'S OFFICE,,,,,,
"COLUMBUS, OH, POE",OH,,,,,
"DALLAS EAST, MCAT",,,,,,
"DALLAS, TX, DISTRICT OFFICE",TX,,,,,
"DALLAS, TX, DOCKET CONTROL OFFICE",TX,,,,,
"DALLAS, TX, POE",TX,,,,,
"DANIA BEACH, FL, BORDER PATROL STATION",FL,,,TRUE,border_station,
"DEL RIO, TX, BORDER PATROL SECTOR HEADQUARTERS",TX,,,TRUE,border_station,
"DENVER, CO, DISTRICT OFFICE",CO,,,,,
"DENVER, CO, DOCKET CONTROL OFFICE",CO,,,,,
"DENVER, CO, POE",CO,,,,,
DESERT VIEW ANNEX,,,,,,
"DETROIT, MI, DISTRICT OFFICE",MI,,,,,
"DETROIT, MI, DOCKET CONTROL OFFICE",MI,,,,,
DILLEY IMMIGRATION PROCESSING CENTER,,,,TRUE,staging_processing,
"DULLES INTERNATIONAL AIRPORT, WASHINGTON DC, POE",,,,TRUE,airport,
EAST BATON ROUGE PARISH SHERIFF'S OFFICE,,,,,,
EDEN DETENTION CENTER,,,,,,
"EL CENTRO, CA, DOCKET CONTROL OFFICE",CA,,,,,
EL PASO PROCESSING CENTER,,,,TRUE,staging_processing,
"EL PASO, TX, DISTRICT OFFICE",TX,,,,,
"EL PASO, TX, DOCKET CONTROL OFFICE",TX,,,,,
"ELOY, AZ, SERVICE PROCESSING CENTER (DOCKET CONTROL OFFICE)",AZ,,,TRUE,staging_processing,
"ERO - AGUADILLA, PR SPC SUB OFFICE",PR,,,TRUE,field_office,
"ERO - ALAMOSA, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - ALBANY, NY SUB-OFFICE",NY,,,TRUE,field_office,
"ERO - ALBUQUERQUE, NM SUB-OFFICE",NM,,,TRUE,field_office,
"ERO - ALEXANDRIA, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ERO - AMARILLO, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - AUSTIN, TX SUB OFFICE",TX,,,TRUE,field_office,
"ERO - BAKERSFIELD, CA IHP SUB OFFICE",CA,,,TRUE,field_office,
"ERO - BATAVIA, NY SPC SUB-OFFICE",NY,,,TRUE,field_office,
"ERO - BATON ROUGE, LA SUB OFFICE",LA,,,TRUE,field_office,
"ERO - BIG SPRINGS, TX IRP SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - BILLINGS, MT SUB OFFICE",MT,,,TRUE,field_office,
"ERO - BIRMINGHAM, AL SUB OFFICE",AL,,,TRUE,field_office,
"ERO - BOISE, ID SUB OFFICE",ID,,,TRUE,field_office,
"ERO - BOWLING GREEN, KY SUB-OFFICE",KY,,,TRUE,field_office,
"ERO - BRADENTON, FL SUB OFFICE",FL,,,TRUE,field_office,
"ERO - CASPAR, WY SUB-OFFICE",WY,,,TRUE,field_office,
"ERO - CDF DENVER, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - CEDAR RAPIDS, IA SUB OFFICE",IA,,,TRUE,field_office,
"ERO - CENTRAL ISLIP, NY SUB OFFICE",NY,,,TRUE,field_office,
"ERO - CHAMPLAIN, NY SUB-OFFICE",NY,,,TRUE,field_office,
"ERO - CHARLESTON, SC SUB-OFFICE",SC,,,TRUE,field_office,
"ERO - CHARLESTON, WV SUB OFFICE",WV,,,TRUE,field_office,
"ERO - CHARLOTTE, NC SUB-OFFICE",NC,,,TRUE,field_office,
"ERO - CHATANOOGA, TN SUB OFFICE",TN,,,TRUE,field_office,
"ERO - CHEYENNE, WY SUB-OFFICE",WY,,,TRUE,field_office,
"ERO - CINCINNATI, OH SUB-OFFICE",OH,,,TRUE,field_office,
"ERO - COLUMBIA, SC SUB OFFICE",SC,,,TRUE,field_office,
"ERO - COLUMBUS, OH SUB-OFFICE",OH,,,TRUE,field_office,
"ERO - CONROE, TX CDF SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - CORPUS CHRISTI, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - CRAIG, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - DALTON, GA SUB-OFFICE",GA,,,TRUE,field_office,
"ERO - DEL RIO, TX SUB OFFICE",TX,,,TRUE,field_office,
"ERO - DES MOINES, IA SUB OFFICE",IA,,,TRUE,field_office,
"ERO - DOVER, DE SUB OFFICE",DE,,,TRUE,field_office,
"ERO - DURANGO, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - EDINBURG, TX, SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - EL PASO, TX SPC SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - ETOWAH, AL SUB OFFICE",AL,,,TRUE,field_office,
"ERO - EUGENE, OR SUB OFFICE",OR,,,TRUE,field_office,
"ERO - FAYETTEVILLE, AR SUB OFFICE",AR,,,TRUE,field_office,
ERO - FLOYD COUNTY SHERIFF'S OFFICE,,,,,,
"ERO - FORT MYERS, FL SUB OFFICE",FL,,,TRUE,field_office,
"ERO - FORT SMITH, AR SUB OFFICE",AR,,,TRUE,field_office,
"ERO - FREDERICK, CO, SUB OFFICE",CO,,,TRUE,field_office,
"ERO - FRESNO, CA SUB OFFICE",CA,,,TRUE,field_office,
ERO - FUGITIVE OPERATIONS SUPPORT CENTER,,,,,,
"ERO - GAINESVILLE, GA SUB OFFICE",GA,,,TRUE,field_office,
"ERO - GLENWOOD SPRINGS, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - GRAND FORKS, ND SUB OFFICE",ND,,,TRUE,field_office,
"ERO - GRAND ISLAND, NE SUB OFFICE",NE,,,TRUE,field_office,
"ERO - GRAND JUNCTION, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - GRAND RAPIDS, MI SUB-OFFICE",MI,,,TRUE,field_office,
"ERO - GREENSBORO, NC SUB OFFICE",NC,,,TRUE,field_office,
"ERO - GREER, SC SUB-OFFICE",SC,,,TRUE,field_office,
"ERO - GULFPORT, LA SUB OFFICE",LA,,,TRUE,field_office,
"ERO - HARRISONBURG, VA SUB OFFICE",VA,,,TRUE,field_office,
"ERO - HELENA,MT SUB OFFICE",MT,,,TRUE,field_office,
"ERO - HENDERSON, NC SUB OFFICE",NC,,,TRUE,field_office,
"ERO - HOUSTON, TX CDF SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - HUNTSVILLE, TX IRP SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - HUTTO, TX SUB OFFICE",TX,,,TRUE,field_office,
"ERO - IDAHO FALLS, IDAHO SUB OFFICE",,,,TRUE,field_office,
"ERO - IMPERIAL, CA SUB OFFICE",CA,,,TRUE,field_office,
"ERO - INDIANAPOLIS, IN SUB-OFFICE",IN,,,TRUE,field_office,
"ERO - JACKSON, MS SUB OFFICE",MS,,,TRUE,field_office,
"ERO - JACKSONVILLE, FL SUB OFFICE",FL,,,TRUE,field_office,
"ERO - JENA, LA SUB OFFICE",LA,,,TRUE,field_office,
"ERO - KARNES CITY, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - KNOXVILLE, TN SUB OFFICE",TN,,,TRUE,field_office,
"ERO - LAFAYETTE, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ERO - LAREDO, TX DETENTION CENTER",TX,,,,,
"ERO - LITTLE ROCK, AR SUB-OFFICE",AR,,,TRUE,field_office,
"ERO - LIVINGSTON, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - LOMPOC, CA IHP SUB-OFFICE",CA,,,TRUE,field_office,
"ERO - LOUISVILLE, KY SUB-OFFICE",KY,,,TRUE,field_office,
"ERO - LUBBOCK, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - MANCHESTER, NH SUB-OFFICE",NH,,,TRUE,field_office,
"ERO - MEDFORD, OR SUB OFFICE",OR,,,TRUE,field_office,
"ERO - MEMPHIS, TN SUB OFFICE",TN,,,TRUE,field_office,
"ERO - MILWAUKEE, WI SUB-OFFICE",WI,,,TRUE,field_office,
"ERO - MOBILE, AL SUB OFFICE",AL,,,TRUE,field_office,
"ERO - MONTGOMERY COUNTY, TX SUB OFFICE",TX,,,TRUE,field_office,
"ERO - MONTGOMERY, AL SUB OFFICE",AL,,,TRUE,field_office,
"ERO - NASHVILLE, TN SUB OFFICE",TN,,,TRUE,field_office,
"ERO - NORFOLK,VA SUB OFFICE",VA,,,TRUE,field_office,
"ERO - NORTH PLATTE, NE SUB OFFICE",NE,,,TRUE,field_office,
"ERO - OAKDALE, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ERO - OGDEN, UT SUB OFFICE",UT,,,TRUE,field_office,
"ERO - OKLAHOMA CITY, OK SUB-OFFICE",OK,,,TRUE,field_office,
"ERO - OTAY CCA FACILITY, CA SUB OFFICE",CA,,,TRUE,field_office,
ERO - OTERO COUNTY PROCESSING CENTER,,,,TRUE,staging_processing,
ERO - PACIFIC ENFORCEMENT RESPONSE CENTER,,,,,,
"ERO - PECOS, TX IHP SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - PIKE COUNTY, PA SUB OFFICE",PA,,,TRUE,field_office,
"ERO - PINE PRAIRIE, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ERO - PROVO, UT SUB OFFICE",UT,,,TRUE,field_office,
"ERO - PUEBLO, CO SUB-OFFICE",CO,,,TRUE,field_office,
"ERO - RALEIGH/DURHAM, NC SUB-OFFICE",NC,,,TRUE,field_office,
"ERO - RAPID CITY, SD SUB OFFICE",SD,,,TRUE,field_office,
"ERO - RICHLAND, WA SUB OFFICE",WA,,,TRUE,field_office,
"ERO - RICHMOND, VA SUB OFFICE",VA,,,TRUE,field_office,
"ERO - RIKERS ISLAND, NY SUB-OFFICE",NY,,,TRUE,field_office,
"ERO - ROANOKE, VA SUB OFFICE",VA,,,TRUE,field_office,
"ERO - ROCK ISLAND, IL SUB-OFFICE",IL,,,TRUE,field_office,
"ERO - SACRAMENTO, CA SUB OFFICE",CA,,,TRUE,field_office,
"ERO - SAIPAN, MP SUB OFFICE",MP,,,TRUE,field_office,
"ERO - SALISBURY, MD SUB OFFICE",MD,,,TRUE,field_office,
"ERO - SAN ANGELO, TX SUB-OFFICE",TX,,,TRUE,field_office,
"ERO - SAN ANTONIO, TX FIELD OFFICE",TX,,,TRUE,field_office,
"ERO - SAN BERNARDINO, CA SUB OFFICE",CA,,,TRUE,field_office,
"ERO - SAN JOSE,CA SUB OFFICE",CA,,,TRUE,field_office,
"ERO - SANTA ANA, CA SUB-OFFICE",CA,,,TRUE,field_office,
"ERO - SANTA MARIA, CA SUB-OFFICE",CA,,,TRUE,field_office,
"ERO - SAVANNAH, GA SUB-OFFICE",GA,,,TRUE,field_office,
"ERO - SHREVEPORT, LA SUB-OFFICE",LA,,,TRUE,field_office,
"ERO - SIOUX CITY, IA SUB OFFICE",IA,,,TRUE,field_office,
"ERO - SIOUX FALLS,SD SUB OFFICE",SD,,,TRUE,field_office,
"ERO - SOUTH TEXAS, TX DETENTION FACILITY",TX,,,,,
"ERO - SPOKANE,WA SUB OFFICE",WA,,,TRUE,field_office,
"ERO - SPRINGFIELD, MO SUB-OFFICE",MO,,,TRUE,field_office,
"ERO - ST. ALBANS, VT SUB OFFICE",VT,,,TRUE,field_office,
"ERO - ST. GEORGE, UT SUB OFFICE",UT,,,TRUE,field_office,
"ERO - ST. LOUIS, MO SUB-OFFICE",MO,,,TRUE,field_office,
